,id,owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,owner_2_score,RATE_owner_2,CAP_AMOUNT_owner_2,PERCENT_OWN_owner_2,owner_3_score,RATE_owner_3,CAP_AMOUNT_owner_3,PERCENT_OWN_owner_3,years_in_business,RATE_ID_FOR_years_in_business,fsr,RATE_ID_FOR_fsr,location,RATE_ID_FOR_location,funded_last_30,RATE_ID_FOR_funded_last_30,judgement_lien_percent,RATE_ID_FOR_judgement_lien_percent,INPUT_VALUE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_judgement_lien_amount,INPUT_VALUE_ID_FOR_judgement_lien_time,RATE_ID_FOR_judgement_lien_time,INPUT_VALUE_ID_FOR_num_negative_days,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,RATE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,RATE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,RATE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_tax_lien_amount,RATE_ID_FOR_tax_lien_amount,INPUT_VALUE_ID_FOR_tax_lien_percent,RATE_ID_FOR_tax_lien_percent,INPUT_VALUE_ID_FOR_tax_lien_count,RATE_ID_FOR_tax_lien_count,INPUT_VALUE_ID_FOR_current_position,RATE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,RATE_ID_FOR_avg_net_deposits,INPUT_VALUE_ID_FOR_industry_type,RATE_ID_FOR_industry_type,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status
1137,8775,741,A,150000,100,,,,,,,,,12.28,A,65,,Verified,A,N,,0,A,0,A,,,0,A,10,C,767088.75,A,387205.25,A,0.5,A,0,A,0,A,0,A,2,C,767088.75,,preferred,,741,A,150000,100,7477,Default
1466,5072,582,B,100000,100,,,,,,,,,8.72,A,7,,Home,A,N,,0,A,0,A,,,0.5,A,36.5,A,23062.485,A,3428,A,0.15,A,0,A,0,A,0,A,0,A,23062.485,,preferred,,582,B,100000,100,4699,Paid in full
722,4185,560,B,100000,100,,,,,,,,,3.82,A,12,,Verified,A,N,,0,A,0,A,,,0,A,31,A,26898.09167,A,3703.456667,A,0.14,A,0,A,0,A,0,A,0,A,26898.09167,,preferred,,560,B,100000,100,4107,Paid in full
177,917,666,A,150000,100,,,,,,,,,3.78,A,28,,Verified,A,N,,0,A,0,A,,,0,A,14.5,A,65731.5,A,42818.75,A,0.65,A,0,A,0,A,0,A,2,C,65731.5,,preferred,,666,A,150000,100,649,Paid off with renewal
197,1000,741,A,150000,100,,,,,,,,,3.78,A,81,,Verified,A,N,,0,A,0,A,,,0,A,15.8,A,207816.4,A,8721.972,A,0.04,A,0,A,0,A,0,A,0,A,207816.4,,preferred,,741,A,150000,100,928,Paid off with renewal
1212,3295,577,B,100000,100,,,,,,,,,0.68,C,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,577,B,100000,100,3476,Paid off with renewal
1357,4515,600,A,150000,51,647,A,150000,49,,,,,4.81,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,58165,A,2500,A,0.04,A,0,A,0,A,0,A,1,A,58165,,preferred,,623,A,150000,100,4443,Default
1076,8238,698,A,150000,100,,,,,,,,,2.58,A,3,,Verified,A,N,,0,A,0,A,,,0.333333333,A,27.66666667,A,46332.33333,A,6761.666667,A,0.15,A,0,A,0,A,0,A,0,A,46332.33333,,preferred,,698,A,150000,100,7089,Paid off with renewal
719,4113,537,C,35000,100,,,,,,,,,10.02,A,17,,Verified,A,N,,0,A,0,A,,,0.2,A,32.6,A,108504.4,A,12460.4,A,0.11,A,0,A,0,A,0,A,3,D,108504.4,,standard,,537,C,35000,100,4122,Default
1350,4058,643,A,150000,100,,,,,,,,,24.3,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,643,A,150000,100,4099,Paid off with renewal
1067,7377,620,A,150000,100,,,,,,,,,8.49,A,,,Home,A,N,,0,A,0,A,,,0,A,25,A,130000,A,8000,A,0.06,A,0,A,0,A,0,A,1,A,130000,,preferred,,620,A,150000,100,676,Paid off with renewal
1059,5959,747,A,150000,100,,,,,,,,,14.88,A,18,,Verified,A,N,,0,A,0,A,,,0.333333333,A,20,A,269757.6667,A,30000,A,0.11,A,0,A,0,A,0,A,3,D,269757.6667,,preferred,,747,A,150000,100,5366,Paid in full
1459,4870,609,A,150000,100,,,,,,,,,4.95,A,4,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,609,A,150000,100,4618,Paid in full
1313,3390,679,A,150000,100,,,,,,,,,0.93,C,90,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,679,A,150000,100,3534,Paid off with renewal
1840,7322,663,A,150000,100,,,,,,,,,25.08,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,663,A,150000,100,6411,Paid off with renewal
1809,6766,684,A,150000,100,,,,,,,,,5.53,A,5,,Verified,A,N,,0,A,0,A,,,0,A,82.33333333,A,115959,A,5333.333333,A,0.05,A,0,A,0,A,0,A,1,A,115959,,preferred,,684,A,150000,100,6035,Paid via discounted payoff
850,6441,506,C,35000,100,,,,,,,,,2.23,A,39,,Verified,A,N,,0,A,0,A,,,0.25,A,7.75,R,500593.25,A,23497.5,A,0.05,A,0,A,0,A,0,A,1,A,500593.25,,preferred,,506,C,35000,100,5713,Paid in full
341,1930,630,A,150000,100,,,,,,,,,5.68,A,42,,Verified,A,N,,0,A,0,A,,,0,A,36.66666667,A,83402.33333,A,9997.58,A,0.12,A,0,A,0,A,0,A,1,A,83402.33333,,capped,,630,A,150000,100,1975,Paid in full
1185,2241,687,A,150000,100,,,,,,,,,4.26,A,,,Verified,A,N,,0,A,0,A,,,0,A,8.666666667,R,111407.6667,A,39669.33333,A,0.36,A,0,A,0,A,0,A,2,C,111407.6667,,preferred,,687,A,150000,100,2311,Paid in full
1735,6246,568,B,100000,100,,,,,,,,,3.42,A,86,,Verified,A,N,,0,A,0,A,,,0.142857143,A,19.71428571,A,86904.42857,A,19131.85714,A,0.22,A,0,A,0,A,0,A,1,A,86904.42857,,preferred,,568,B,100000,100,5521,Paid in full
482,2807,646,A,150000,100,,,,,,,,,31.82,A,98,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,646,A,150000,100,2924,Paid in full
1807,6504,561,B,100000,50,500,C,35000,50,,,,,5.88,A,74,,Home,A,N,,0,A,0,A,,,0.333333333,A,64,A,23972,A,1325.333333,A,0.06,A,0,A,0,A,0,A,1,A,23972,,preferred,,530,C,35000,100,5641,Paid off with renewal
723,4216,659,A,150000,100,,,,,,,,,1.24,B,19,,Verified,A,N,,0,A,0,A,,,0,A,30.66666667,A,24496.66667,A,1796,A,0.07,A,0,A,0,A,0,A,1,A,24496.66667,,preferred,,659,A,150000,100,4171,Default
1062,6115,582,B,100000,100,,,,,,,,,35.14,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,582,B,100000,100,5507,Default
397,2162,537,C,35000,100,,,,,,,,,9.88,A,17,,Verified,A,N,,0,A,0,A,,,0.25,A,32.75,A,115187,A,10049.5,A,0.09,A,0,A,0,A,0,A,2,C,115187,,standard,,537,C,35000,100,2227,Paid off with renewal
498,2869,620,A,150000,100,,,,,,,,,7.9,A,74,,Verified,A,N,,0,A,0,A,,,0,A,6.666666667,R,19529.54333,A,4267.793333,A,0.22,A,0,A,0,A,0,A,1,A,19529.54333,,preferred,,620,A,150000,100,2982,Paid in full
704,3840,598,B,100000,100,,,,,,,,,5.87,A,49,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,598,B,100000,100,3898,Paid off with renewal
431,2254,504,C,35000,100,,,,,,,,,2.27,A,,,Verified,A,N,,0,A,0,A,,,0,A,5.75,R,14986.25,A,8074.75,A,0.54,A,0,A,0,A,0,A,1,A,14986.25,,preferred,,504,C,35000,100,1237,Paid via discounted payoff
699,3657,509,C,35000,100,,,,,,,,,11.56,A,27,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,509,C,35000,100,3750,Paid off with renewal
1346,3867,497,D,0,100,,,,,,,,,1.43,B,,,Home,A,N,,0,A,0,A,,,6.5,D,42.75,A,19487.75,A,1093.75,A,0.06,A,0,A,0,A,0,A,1,A,19487.75,,preferred,,497,D,0,100,3700,Default
1343,3456,682,A,150000,50,691,A,150000,50,,,,,24.11,A,75,,Home,A,N,,0,A,0,A,,,0.333333333,A,98.66666667,A,154156.8867,A,20540.18333,A,0.13,A,0,A,0,A,0,A,2,C,154156.8867,,preferred,,686,A,150000,100,3559,Paid in full
300,1550,,,,80,,,,20,,,,,2.57,A,,,Home,A,N,,0,A,0,A,,,0,A,20.75,A,36992,A,6670.75,A,0.18,A,0,A,0,A,0,A,0,A,36992,,preferred,,0,,,0,1545,Default
984,6309,672,A,150000,100,,,,,,,,,2.2,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,672,A,150000,100,5598,Paid off with renewal
276,1390,567,B,100000,70,,,,,,,,,2.97,A,,,Home,A,N,,0,A,0,A,,,1,A,10.2,R,71408,A,21484.02,A,0.3,A,0,A,0,A,0,A,1,A,71408,,preferred,,567,B,100000,70,1364,Paid in full
282,1391,567,B,100000,70,,,,,,,,,2.97,A,72,,Unknown,,N,,0,A,0,A,,,1,A,10.2,R,71408,A,21484.02,A,0.3,A,0,A,0,A,0,A,1,A,71408,,preferred,,567,B,100000,70,1364,Paid in full
358,1711,549,C,35000,100,,,,,,,,,8.66,A,23,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,549,C,35000,100,1694,Default
1471,5149,696,A,150000,25,697,A,150000,25,,,,,1.33,B,12,,Verified,A,N,,0,A,0,A,,,0.75,A,31.5,A,12995,A,2000,A,0.15,A,0,A,0,A,0,A,0,A,12995,,preferred,,696,A,150000,50,4769,Paid in full
706,3844,598,B,100000,100,,,,,,,,,4.28,A,,,Verified,A,N,,0,A,0,A,,,0.333333333,A,36.33333333,A,16152,A,1286,A,0.08,A,0,A,0,A,0,A,0,A,16152,,preferred,,598,B,100000,100,3898,Paid off with renewal
52,397,609,A,150000,100,,,,,,,,,4.73,A,,,Verified,A,N,,0,A,0,A,,,1,A,10.5,R,137265.92,A,29186.83,A,0.21,A,0,A,0,A,0,A,0,A,137265.92,,preferred,,609,A,150000,100,303,Default
718,4016,504,C,35000,100,,,,,,,,,5.96,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,504,C,35000,100,4062,Paid in full
1056,5825,658,A,150000,100,,,,,,,,,12.1,A,4,,Verified,A,N,,0,A,0,A,,,0,A,12.66666667,A,14649.73667,A,1145.486667,A,0.08,A,0,A,0,A,0,A,0,A,14649.73667,,preferred,,658,A,150000,100,5215,Paid in full
441,2010,713,A,150000,100,,,,,,,,,3.1,A,80,,Verified,A,N,,0,A,0,A,,,0,A,11.66666667,A,466666.6667,A,45333.33333,A,0.1,A,0,A,0,A,0,A,2,C,466666.6667,,preferred,,713,A,150000,100,633,Paid in full
1931,9819,576,B,100000,100,,,,,,,,,3.65,A,80,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,576,B,100000,100,8181,Default
1330,3024,760,A,150000,100,,,,,,,,,20.93,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,760,A,150000,100,3174,Paid in full
820,4386,639,A,150000,100,,,,,,,,,18.91,A,6,,Verified,A,N,,0,A,0,A,,,0.333333333,A,42,A,53112.03,A,7437.666667,A,0.14,A,0,A,0,A,0,A,1,A,53112.03,,preferred,,639,A,150000,100,4321,Paid in full
1996,11224,630,B,100000,100,,,,,,,,,12.18,A,25,,Verified,A,N,,0,A,0,A,,,1,A,80.33333333,A,243958.2467,A,25340.18333,A,0.1,A,0,A,0,A,0,A,1,A,243958.2467,,Preferred,,0,,,100,9062,Paid off with renewal
467,2434,568,B,100000,50,,,,50,,,,,7.88,A,65,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,568,B,100000,50,2546,Paid off with renewal
1145,2746,663,A,150000,100,,,,,,,,,1.71,B,85,,Home,A,N,,0,A,0,A,,,0.75,A,17.75,A,117634.75,A,10323.5675,A,0.09,A,0,A,0,A,0,A,1,A,117634.75,,preferred,,663,A,150000,100,2858,Paid in full
411,2575,649,A,150000,100,,,,,,,,,5.51,A,56,,Verified,A,N,,0,A,0,A,,,0,A,70.4,A,250811.8,A,22737.4,A,0.09,A,0,A,0,A,0,A,1,A,250811.8,,preferred,,649,A,150000,100,2696,Paid off with renewal
678,4058,643,A,150000,100,,,,,,,,,24.3,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,643,A,150000,100,4099,Paid off with renewal
1616,5040,610,A,150000,100,,,,,,,,,3.58,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,610,A,150000,100,4729,Paid in full
1025,7272,675,A,150000,100,,,,,,,,,9.08,A,9,,Verified,A,N,,0,A,0,A,,,0,A,10,R,245235.25,A,20719,A,0.08,A,0,A,0,A,0,A,0,A,245235.25,,capped,,675,A,150000,100,6343,Default
1324,3701,544,C,35000,100,,,,,,,,,4.94,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,544,C,35000,100,3792,Default
373,1835,614,A,150000,100,,,,,,,,,16.09,A,31,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,614,A,150000,100,1911,Paid in full
20,254,652,A,150000,100,,,,,,,,,4.73,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,473639,A,100000,A,0.21,A,0,A,0,A,0,A,2,C,473639,,preferred,,652,A,150000,100,201,Default
1218,3517,559,B,100000,100,,,,,,,,,5.94,A,2,,Home,A,N,,0,A,0,A,,,0.666666667,A,4.666666667,R,33239.48667,A,6666.666667,A,0.2,A,0,A,0,A,0,A,0,A,33239.48667,,preferred,,559,B,100000,100,3618,Default
152,729,600,A,150000,100,,,,,,,,,8.68,A,,,Home,A,N,,0,A,0,A,,,0,A,8.333333333,R,16243.33333,A,1000,A,0.06,A,0,A,0,A,0,A,1,A,16243.33333,,preferred,,600,A,150000,100,574,Paid in full
1549,4411,740,A,150000,100,,,,,,,,,4.06,A,6,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,740,A,150000,100,4349,Paid in full
1896,8780,620,B,100000,100,,,,,,,,,2.15,A,,,Unknown,,N,,0,A,0,A,,,0,A,23.33333333,A,0,D,8550.083333,A,0,D,0,A,0,A,0,A,0,A,0,,preferred,,620,B,100000,100,7460,Paid via discounted payoff
973,6381,561,B,100000,50,9002,R,,50,,,,,5.87,A,74,,Unknown,,N,,0,A,0,A,,,0.333333333,A,64,A,23972,A,1325.333333,A,0.06,A,0,A,0,A,0,A,1,A,23972,,preferred,,4781,R,,100,5641,Paid off with renewal
776,4709,598,B,100000,100,,,,,,,,,6.68,A,92,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,598,B,100000,100,4538,Paid in full
1948,8768,741,A,150000,100,,,,,,,,,13.28,A,65,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,741,A,150000,100,7477,Default
1870,7989,548,C,35000,100,,,,,,,,,11.81,A,3,,Verified,A,N,,0,A,0,A,,,0,A,35,A,49774.75,A,6043,A,0.12,A,0,A,0,A,0,A,1,A,49774.75,,preferred,,548,C,35000,100,6916,Default
41,106,600,A,150000,0,,,,0,,,,0,11.12,A,75,A,BRICK,A,N,,0,A,0,A,,,1.666666667,B,81.22222222,A,135836.4444,A,16430.17222,A,0.12,A,0,A,0,A,0,A,2,C,135836.4444,,,,,,,,88,Paid in full
1252,3523,682,A,150000,50,691,A,150000,50,,,,,24.55,A,75,,Verified,A,N,,0,A,0,A,,,0.333333333,A,98.66666667,A,154156.8867,A,20540.18333,A,0.13,A,0,A,0,A,0,A,2,C,154156.8867,,preferred,,686,A,150000,100,3559,Paid in full
1559,4804,600,A,150000,51,647,A,150000,49,,,,,4.82,A,,,Verified,A,N,,0,A,0,A,,,0,A,0,R,58165,A,2500,A,0.04,A,0,A,0,A,0,A,1,A,58165,,preferred,,623,A,150000,100,4443,Default
1525,5552,479,D,0,50,,,,,,,,,3.58,A,6,,Home,A,N,,0,A,0,A,,,0,A,27.5,A,51259.0075,A,2750,A,0.05,A,0,A,0,A,0,A,1,A,51259.0075,,preferred,,479,D,0,50,5028,Paid in full
857,5960,640,A,150000,100,,,,,,,,,2.3,A,43,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,640,A,150000,100,5368,Paid off with renewal
1960,10401,558,C,35000,100,,,,,,,,,20.04,A,18,,Home,A,N,,0,A,0,A,,,2,B,43.25,A,45207,A,1588.505,A,0.04,A,0,A,0,A,0,A,2,C,45207,,preferred,,558,C,35000,100,8546,Paid in full
1040,7919,635,A,150000,100,,,,,,,,,3.24,A,45,,Verified,A,N,,0,A,0,A,,,0,A,10.25,R,267331.765,A,6000,A,0.02,A,0,A,0,A,0,A,0,A,267331.765,,capped,,635,A,150000,100,6894,Paid in full
1850,7857,693,A,150000,100,,,,,,,,,5.71,A,92,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,693,A,150000,100,6832,Default
280,1469,567,B,100000,70,,,,,,,,,2.97,A,72,,Verified,A,N,,0,A,0,A,,,1,A,10.2,R,71408,A,21484.02,A,0.3,A,0,A,0,A,0,A,0,A,71408,,preferred,,567,B,100000,70,1364,Paid in full
495,2819,646,A,150000,100,,,,,,,,,31.79,A,98,,Verified,A,N,,0,A,0,A,,,0,A,14.25,A,100060.75,A,13971.7975,A,0.14,A,0,A,0,A,0,A,1,A,100060.75,,preferred,,646,A,150000,100,2924,Paid in full
173,767,659,A,150000,100,,,,,,,,,1.23,B,72,,Verified,A,N,,0,A,0,A,,,5.5,D,17,A,168037.75,A,22916,A,0.14,A,0,A,0,A,0,A,1,A,168037.75,,preferred,,659,A,150000,100,611,Default
1320,3510,582,B,100000,100,,,,,,,,,1.12,B,,,Verified,A,N,,0,A,0,A,,,0,A,13.25,A,32607.6475,A,1000,A,0.03,A,0,A,0,A,0,A,1,A,32607.6475,,standard,,582,B,100000,100,3605,Default
1448,4059,564,B,100000,100,,,,,,,,,7.72,A,35,,Verified,A,N,,0,A,0,A,,,0,A,28.66666667,A,88215.66667,A,10655.09333,A,0.12,A,0,A,0,A,0,A,1,A,88215.66667,,preferred,,564,B,100000,100,4105,Default
954,6868,598,B,100000,100,,,,,,,,,6.75,A,92,,Verified,A,N,,0,A,0,A,,,0,A,32.25,A,153910.6925,A,65517.5,A,0.43,A,0,A,0,A,0,A,1,A,153910.6925,,preferred,,598,B,100000,100,4538,Paid in full
550,3537,698,A,150000,100,,,,,,,,,4.94,A,,,Verified,A,N,,0,A,0,A,,,0,A,5.25,R,14755.4,A,4442,A,0.3,A,0,A,0,A,0,A,1,A,14755.4,,preferred,,698,A,150000,100,3637,Paid off with renewal
439,2241,687,A,150000,100,,,,,,,,,4.26,A,,,Verified,A,N,,0,A,0,A,,,0,A,8.666666667,R,111407.6667,A,39669.33333,A,0.36,A,0,A,0,A,0,A,2,C,111407.6667,,preferred,,687,A,150000,100,2311,Paid in full
1618,5130,705,A,150000,100,,,,,,,,,12.57,A,87,,Home,A,N,,0,A,0,A,,,0.333333333,A,47.66666667,A,362951.0333,A,27505.86667,A,0.08,A,0,A,0,A,0,A,1,A,362951.0333,,preferred,,705,A,150000,100,4743,Paid in full
51,390,580,B,100000,100,,,,,,,,,1.98,B,18,,Verified,A,N,,0,A,0,A,,,1.5,B,69.5,A,62348.64,A,1125.7,A,0.02,A,0,A,0,A,0,A,1,A,62348.64,,preferred,,580,B,100000,100,315,Paid off with renewal
2007,9990,696,A,150000,100,,,,,,,,,11.17,A,89,,Unknown,,N,,0,A,0,A,,,0,A,6.75,C,96679,A,27595.2375,A,0.29,A,0,A,0,A,0,A,1,A,96679,,preferred,,696,A,150000,100,8279,Paid in full
425,2496,493,D,0,100,,,,,,,,,1.79,B,,,Verified,A,N,,0,A,0,A,,,0,A,0,R,20348.33333,A,1858.666667,A,0.09,A,0,A,0,A,0,A,2,C,20348.33333,,preferred,,493,D,0,100,2280,Paid in full
894,5921,614,A,150000,100,,,,,,,,,12.29,A,22,,Verified,A,N,,0,A,0,A,,,0,A,34.33333333,A,45551.43667,A,8615.893333,A,0.19,A,0,A,0,A,0,A,1,A,45551.43667,,preferred,,614,A,150000,100,5326,Paid off with renewal
1728,5881,694,A,150000,100,,,,,,,,,4.78,A,6,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,694,A,150000,100,5313,Paid in full
876,5040,610,A,150000,100,,,,,,,,,3.58,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,610,A,150000,100,4729,Paid in full
1273,3392,679,A,150000,100,,,,,,,,,32.4,A,90,,Verified,A,N,,0,A,0,A,,,1.25,B,40,A,32114.25,A,1311.25,A,0.04,A,0,A,0,A,0,A,1,A,32114.25,,preferred,,679,A,150000,100,3534,Paid off with renewal
1160,2574,649,A,150000,100,,,,,,,,,5.55,A,56,,Verified,A,N,,0,A,0,A,,,0,A,70.4,A,250811.8,A,22737.4,A,0.09,A,0,A,0,A,0,A,1,A,250811.8,,preferred,,649,A,150000,100,2696,Paid off with renewal
981,6176,568,B,100000,100,,,,,,,,,3.29,A,86,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,568,B,100000,100,5521,Paid in full
224,1216,669,,,51,700,A,150000,49,,,,,11.39,A,,,Verified,A,N,,0,A,0,A,,,0,A,24,A,63999.5,A,27500,A,0.43,A,0,A,0,A,0,A,0,A,63999.5,,preferred,,684,A,150000,100,1017,Paid off with renewal
1906,8364,650,A,150000,100,,,,,,,,,10.26,A,27,,Verified,A,N,,0,A,0,A,,,0.4,A,81.2,A,68463.6,A,2969.4,A,0.04,A,0,A,0,A,0,A,1,A,68463.6,,preferred,,650,A,150000,100,5871,Paid in full
1391,3452,682,A,150000,50,691,A,150000,50,,,,,24.11,A,75,,Home,A,N,,0,A,0,A,,,0.333333333,A,98.66666667,A,159990.22,A,20540.18333,A,0.13,A,0,A,0,A,0,A,0,A,159990.22,,preferred,,686,A,150000,100,3559,Paid in full
294,1994,624,A,150000,100,,,,,,,,,6.76,A,,,Home,A,N,,0,A,0,A,,,1,A,47.75,A,36983.5,A,3852.5,A,0.1,A,0,A,0,A,0,A,1,A,36983.5,,preferred,,624,A,150000,100,2059,Paid in full
625,5062,606,A,150000,100,,,,,,,,,2.08,A,6,,Verified,A,N,,0,A,0,A,,,0,A,16.75,A,53039.8175,A,7671.5,A,0.14,A,0,A,0,A,0,A,1,A,53039.8175,,preferred,,606,A,150000,100,4642,Paid off with renewal
538,3391,682,A,150000,100,,,,,,,,,2.27,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,682,A,150000,100,3536,Paid in full
1456,4803,600,A,150000,51,647,A,150000,49,,,,,4.82,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,58165,A,2500,A,0.04,A,0,A,0,A,0,A,1,A,58165,,preferred,,623,A,150000,100,4443,Default
1232,3166,550,B,100000,100,,,,,,,,,6.35,A,45,,Verified,A,N,,0,A,0,A,,,0,A,6.666666667,R,150456,A,32985.33333,A,0.22,A,0,A,0,A,0,A,1,A,150456,,preferred,,550,B,100000,100,3318,Default
76,487,632,A,150000,50,669,A,150000,50,,,,,8.5,A,31,,Home,A,N,,0,A,0,A,,,0,A,6.75,R,33005.0975,A,6198.4175,A,0.19,A,0,A,0,A,0,A,0,A,33005.0975,,preferred,,650,A,150000,100,203,Paid in full
1111,6793,588,B,100000,100,,,,,,,,,5.64,A,29,,Verified,A,N,,0,A,0,A,,,0,A,24.66666667,A,15947.66667,A,3111.666667,A,0.2,A,0,A,0,A,0,A,0,A,15947.66667,,preferred,,588,B,100000,100,5972,Paid off with renewal
30,189,652,A,150000,100,,,,,,,,,4.71,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,1,A,0,,preferred,,652,A,150000,,201,Default
204,884,634,A,150000,100,,,,,,,,,6.78,A,86,,Home,A,N,,0,A,0,A,,,1.5,B,6.25,R,74464.5,A,1000,A,0.01,A,0,A,0,A,0,A,1,A,74464.5,,preferred,,634,A,150000,100,765,Paid off with renewal
1991,11027,675,A,150000,25,676,A,150000,25,399,D,0,50,1.51,B,12,,Verified,A,N,,0,A,0,A,,,0,A,31.25,A,12502.41667,A,2703.75,A,0.22,A,0,A,0,A,0,A,1,A,12502.41667,,preferred,,537,C,35000,100,8959,Paid in full
1673,7377,620,A,150000,100,,,,,,,,,8.49,A,,,Home,A,N,,0,A,0,A,,,0,A,25,A,130000,A,8000,A,0.06,A,0,A,0,A,0,A,1,A,130000,,preferred,,620,A,150000,100,676,Paid off with renewal
180,1024,741,A,150000,100,,,,,,,,,3.79,A,81,,Verified,A,N,,0,A,0,A,,,0,A,6.583333333,R,261515.0833,A,34921.66833,A,0.13,A,0,A,0,A,0,A,1,A,261515.0833,,preferred,,741,A,150000,100,928,Paid off with renewal
647,4499,705,A,150000,100,,,,,,,,,8.98,A,93,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,705,A,150000,100,4425,Default
1523,5114,,,,25,,,,25,,,,,1.33,B,12,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,0,,,0,4769,Paid in full
672,3785,585,B,100000,100,,,,,,,,,11.24,A,1,,Verified,A,N,,0,A,0,A,,,0,A,10,R,44004.33333,A,36253.33333,A,0.82,A,0,A,0,A,0,A,0,A,44004.33333,,preferred,,585,B,100000,100,3870,Paid in full
